,interaction,implementation,ts_0,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,ts_8,ts_9,noise_ct,noise_lin,noise_sqrt
20,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0528327263217019,1.0533884021215025,1.05325344196906,1.05325344196906,1.05325344196906,1.05325344196906,1.05325344196906,1.0394526887651827,1.0395794809255647,1.0395794809255647,0.0,1.0,0.0
21,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0395615023940898,1.0472955515679534,1.047504426878237,1.047504426878237,1.0351415590487523,1.0351924255249163,1.0351924255249163,1.0351924255249163,1.0351924255249163,1.0351924255249163,0.0,1.0,0.01
22,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0350595080202543,1.0500599317115829,1.0501155774266482,1.0501155774266482,1.0501155774266482,1.0501155774266482,1.0501155774266482,1.0501155774266482,1.047633962355008,1.0472761942926192,0.0,1.0,0.1
23,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.0463917155768532,1.0362586133787652,1.036164583818484,1.036164583818484,1.036164583818484,1.036164583818484,1.0552343382840148,1.0551346202960998,1.0551346202960998,1.0551346202960998,0.0,1.0,0.5
24,0.05,NOISE.LANGEVIN_LINEAR_SQRT,1.049353476485272,1.0416902778267847,1.0416515807548337,1.0290564403917648,1.0285565647401338,1.0285565647401338,1.0285565647401338,1.0285565647401338,1.0285565647401338,1.0285565647401338,0.0,1.0,1.0
25,0.05,NOISE.LANGEVIN_CONSTANT,0.5142980649098349,0.5713768948340652,0.4143419199597124,0.4143419199597124,0.4143419199597124,0.4143419199597124,0.4143419199597124,0.4143419199597124,0.4143419199597124,0.4143419199597124,0.0,0.0,0.0
26,0.05,NOISE.LANGEVIN_CONSTANT,0.4143419199597124,0.4244246595924164,0.48345404897959227,0.48358605537079585,0.5751711375212235,0.5751711375212235,0.5751711375212235,0.5751711375212235,0.5751711375212235,0.5751711375212235,0.01,0.0,0.0
27,0.05,NOISE.LANGEVIN_CONSTANT,0.5751711375212235,0.5747694243671261,0.5199941494805389,0.5199941494805389,0.5199941494805389,0.5239020074733338,0.4763474388531462,0.4763474388531462,0.4763474388531462,0.4763474388531462,0.1,0.0,0.0
28,0.05,NOISE.LANGEVIN_CONSTANT,0.4763474388531462,0.46772110159014196,0.504648977303455,0.504648977303455,0.504648977303455,0.504648977303455,0.504648977303455,0.5109622335862483,0.6747448818220804,0.6747448818220804,0.5,0.0,0.0
29,0.05,NOISE.LANGEVIN_CONSTANT,0.6747448818220804,0.6731292478090988,0.6883480562470484,0.6883480562470484,0.6883480562470484,0.6883480562470484,0.6883480562470484,0.6883480562470484,0.6826503428053982,0.6726106393796727,1.0,0.0,0.0
