,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval
12,0.016768329368110083,0.002238586143966277,1.4865305339843186e-05,0.7858119083915169,0.022369917757856763,0.00015901197423801586,0.7731825974502725,0.04465006268146563,0.0002845242528166165,0.7089350451217677,0.055964557840099086,0.0003971102985832958,0.6677921146938901,0.0671421453692193,0.0005049180433253876,0.69335865195665
13,0.021209508879201904,0.0022326991216127688,1.1492013541439393e-05,0.753103010550022,0.02230076486126686,0.00016859246636504423,0.7980686949641881,0.04472025143780258,0.00035059354251753335,0.7410285272898705,0.055912528343460374,0.00043181544284072584,0.6777619439405101,0.06702132732810867,0.00043532705610414986,0.6543108600218136
14,0.02682695795279726,0.002238457251164012,1.602614498183087e-05,0.7460885331926014,0.02236012676198763,0.00016136198659607887,0.7504181553105504,0.04468063981383883,0.0002679237925071306,0.7489854226203305,0.055898752279748845,0.0004180174842678425,0.6522302398474382,0.06705823948158274,0.000518484711271174,0.6067183779390429
15,0.0339322177189533,0.0022340609408089125,1.258915924040163e-05,0.767615021062379,0.02231523872904677,0.00012804835289946978,0.768837213454276,0.04468001090098585,0.0002840053742941362,0.7651068898266322,0.055756802461380886,0.0004068179985183484,0.7098284882687428,0.06713668263376996,0.0005669266672727159,0.6559236886169222
16,0.04291934260128778,0.0022415779214103666,1.4054145795427595e-05,0.8116125967047806,0.02232386712717926,0.0001447458719621811,0.7800422664699138,0.04463474403068398,0.00028377957818660223,0.7330904563905568,0.055862044737419486,0.000314651409233454,0.7192922928358327,0.0671618409093312,0.0004260662781488308,0.5542672039154405
17,0.054286754393238594,0.002236054817722832,1.4288232065316278e-05,0.7545456431066568,0.022351967529718592,0.00016200090781137583,0.774764075074377,0.04476440854531948,0.0003627403052719398,0.7084066166229591,0.055949391053391126,0.0004503851011769977,0.7134212980487851,0.06713498919350985,0.00041969463496133516,0.6679287517111002
18,0.06866488450043001,0.00223514132395156,1.6561380347031878e-05,0.8078514702968674,0.02236028646276627,0.0001833100175105517,0.8036830785770499,0.0447386104552778,0.00032359145666140745,0.6857532272898446,0.055863109340641086,0.0003768180144220129,0.6933557182444657,0.06711175199807293,0.0004614183361352877,0.6511837192221201
19,0.08685113737513529,0.002231986040214207,1.6327871004317243e-05,0.7443740589020743,0.022357878226955633,0.0001602774841346197,0.7471470541873387,0.04478537950360507,0.00027740626155270176,0.6673961370840269,0.055915729563812896,0.0003931217143822947,0.6586045054517232,0.06718255682510108,0.0004772932946448242,0.6004406040677369
20,0.10985411419875583,0.0022309781855143393,1.332366858210527e-05,0.7597882474899492,0.022316751594394012,0.00018384611089691317,0.7442310491343566,0.044698352472609254,0.00027494050311063865,0.71876496814796,0.05591011428144954,0.00036672699352287513,0.6884660053830076,0.06710378779851468,0.0004548398069235193,0.7292935200645313
21,0.13894954943731375,0.0022360328922381855,1.392725752956938e-05,0.8303457741872989,0.022348523985760246,0.00012682144095392262,0.7691957286268217,0.044615650227130876,0.0003249153414334197,0.7137656580423883,0.055876031038075674,0.0003981731900939906,0.7563149763092585,0.06702948150311581,0.0003473731834877478,0.6666435828361004
