,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
26,0.449843267,0.002256068,5.11E-05,0.791669418,0.022371911,0.000152896,0.772726941,0.044750071,0.000353169,0.701311675,0.056204954,0.000392097,0.681695076,0.067315309,0.000429391,0.684797169,0.112308351,0.001070335,0.514956753,0.157339402,0.001185918,0.330336964,0.180225071,0.001367971,0.212309949,0.225892198,0.002070115,0.148313057
27,0.568986603,0.002247917,1.68E-05,0.784429009,0.022383637,0.000171216,0.771671506,0.044918785,0.000321681,0.746529588,0.056117665,0.000375489,0.718976429,0.067489319,0.000736797,0.694684288,0.112263749,0.000877652,0.536689588,0.157322267,0.00124679,0.326237647,0.179909236,0.001247397,0.231208795,0.226259316,0.002141029,0.150439453
28,0.719685673,0.002264257,2.56E-05,0.766928954,0.022410625,0.000235663,0.736940111,0.044854175,0.000331564,0.700581194,0.056438802,0.000709175,0.698858459,0.067405481,0.000602487,0.612318093,0.112665329,0.001126454,0.50946407,0.157809465,0.002022825,0.342077251,0.18018707,0.001948725,0.256511459,0.225670118,0.001853434,0.130321587
29,0.910298178,0.002254995,2.11E-05,0.729785336,0.022624659,0.000874331,0.752849214,0.045028745,0.000814604,0.732014415,0.056213409,0.000652196,0.719277188,0.067504977,0.000857478,0.655581654,0.11270367,0.001390726,0.539162269,0.157957294,0.001776045,0.346053295,0.180770501,0.002062485,0.241019922,0.226562663,0.002708573,0.152316435
30,1.151395399,0.002936434,0.002191664,0.581142341,0.022517992,0.000200001,0.826850358,0.04496472,0.000366564,0.734815489,0.056171104,0.000582543,0.697668305,0.067899544,0.001713769,0.624595195,0.113102147,0.001205273,0.509303789,0.157905631,0.002358236,0.350746908,0.180339738,0.002444489,0.304767473,0.226679241,0.002873363,0.144151761
31,1.456348478,0.002290839,4.43E-05,0.720213835,0.022524188,0.000427526,0.829002423,0.046791138,0.00612102,0.727891654,0.056521554,0.000544384,0.766451166,0.067769847,0.000588361,0.628926955,0.113853483,0.002542802,0.477650325,0.158530948,0.001744325,0.387380661,0.180863989,0.002959726,0.29294633,0.226766156,0.00332902,0.146729265
32,1.842069969,0.007153704,0.017049214,0.31119165,0.023045425,0.002724422,0.75768098,0.045494116,0.000848274,0.745810107,0.056638971,0.002270008,0.656123418,0.06779624,0.000754287,0.63078875,0.113116843,0.001035347,0.517941096,0.159986913,0.003589571,0.367891245,0.18147732,0.00288982,0.275446654,0.227031201,0.00643395,0.14822714
33,2.329951811,0.002279581,4.00E-05,0.638666564,0.022823225,0.001019386,0.776607788,0.04530893,0.001422279,0.726971491,0.056484667,0.001179224,0.702470616,0.068133656,0.002034629,0.643570004,0.113689995,0.003162202,0.524076114,0.159359097,0.004025996,0.359783394,0.182294572,0.004386884,0.302919514,0.228331851,0.00668805,0.167363656
34,2.947051703,0.002302635,5.23E-05,0.542395778,0.027062188,0.008284858,0.529547602,0.046089709,0.004619589,0.744956236,0.057119844,0.001078377,0.785716489,0.068338502,0.004037991,0.662933296,0.114478215,0.002679195,0.509318549,0.159963712,0.004478979,0.373411696,0.181993828,0.002950757,0.279130072,0.22771048,0.005427587,0.15838534
35,3.72759372,0.002320152,6.28E-05,0.501096829,0.022700374,0.000295951,0.729388396,0.046927062,0.008754004,0.739664096,0.056967254,0.000894141,0.720825979,0.068917412,0.003710473,0.657111738,0.114777462,0.005938048,0.56281145,0.158852457,0.00331562,0.414146552,0.183425018,0.007766753,0.251212802,0.229822549,0.008936792,0.151164545
