,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
40,12.06792641,0.002126954,0.000144173,0.435173013,0.020471303,0.000149837,0.756348098,0.0408936,0.000333875,0.73852643,0.05113368,0.000415312,0.719341722,0.06140187,0.000574145,0.661351009,0.10256017,0.000909887,0.678875092,0.144150305,0.000875695,0.48487564,0.165217073,0.001106275,0.387089234,0.207306185,0.001906261,0.25480255
41,15.26417967,0.002121989,0.000177134,0.326418876,0.019993179,0.00014619,0.771083013,0.040062284,0.000306054,0.783965685,0.050026537,0.000398515,0.743577628,0.059969709,0.000399523,0.745154308,0.100230191,0.000718622,0.619156295,0.14104219,0.001032364,0.51185321,0.161272376,0.001215088,0.459469241,0.202661578,0.001391225,0.319042896
42,19.30697729,0.002034945,0.000119039,0.344363269,0.0194653,0.000143393,0.799772297,0.038902232,0.000274047,0.790076499,0.048551511,0.000362652,0.739661226,0.058418577,0.00041769,0.756946428,0.09765032,0.000856265,0.638666083,0.136998159,0.000917958,0.553591737,0.156740102,0.00130568,0.498796668,0.197118256,0.00147059,0.451650433
43,24.42053095,0.001988339,0.000121405,0.29968094,0.018775011,0.000179295,0.812166311,0.037538716,0.000330915,0.753013809,0.046999984,0.000365062,0.753368191,0.056239577,0.000476796,0.714385366,0.094079811,0.000773423,0.729948842,0.131912961,0.001005298,0.622421498,0.151777932,0.001197383,0.607193733,0.190100696,0.001295833,0.564364435
44,30.88843596,0.001959686,0.00029624,0.271361406,0.017988649,0.000132216,0.752501484,0.035945856,0.000243292,0.752095399,0.045010575,0.000408963,0.787335763,0.05391113,0.00044832,0.756922497,0.090186082,0.000734643,0.755152197,0.126739914,0.001077166,0.701464424,0.145283545,0.001140065,0.637285849,0.182369316,0.001366073,0.543679327
45,39.06939937,0.001992615,0.000352098,0.210624289,0.017117134,0.000178139,0.805651878,0.034213201,0.000278965,0.744792455,0.042708811,0.00037244,0.765011192,0.051283192,0.000471627,0.777050616,0.085828345,0.000621302,0.753912778,0.120466355,0.001063448,0.822329139,0.13803436,0.00129898,0.692591142,0.173687979,0.001553584,0.616454861
46,49.41713361,0.001824995,0.000307021,0.200028775,0.016171719,0.000137058,0.804358039,0.032308288,0.000302514,0.742278947,0.040287926,0.000339647,0.713167969,0.048468797,0.000418574,0.785959815,0.080974071,0.000613955,0.775291709,0.113743872,0.000889921,0.781577958,0.130573813,0.001059138,0.755358969,0.163999474,0.001439432,0.739845675
47,62.50551925,0.001809612,0.000373272,0.19321021,0.015217803,0.000126088,0.772029651,0.030408563,0.000260917,0.815467634,0.038157261,0.00036868,0.768901567,0.045644099,0.000401707,0.810714968,0.076369127,0.000600421,0.772476639,0.107351923,0.000958163,0.797129095,0.123341428,0.000917389,0.778342534,0.155075109,0.00128291,0.808069518
48,79.06043211,0.001764806,0.000394723,0.213720722,0.014503861,0.000135716,0.838808629,0.028956455,0.000248463,0.759380539,0.03624761,0.000344109,0.759370053,0.043438373,0.000405229,0.814741008,0.072655094,0.000557796,0.791400534,0.102265562,0.000866977,0.817183713,0.117296319,0.001215787,0.832608936,0.147929309,0.001568765,0.707081573
49,100,0.001738906,0.0003832,0.113973132,0.014161669,0.000129071,0.762945283,0.028332904,0.000271508,0.743471771,0.035416204,0.000273578,0.783871186,0.04256353,0.000399886,0.80940486,0.071097807,0.000685986,0.842703059,0.100322393,0.00098092,0.666278472,0.115150137,0.00110131,0.669910215,0.14575194,0.001325365,0.563435049
