,99.99999999999999,73.72028964018153,49.64992384996634,49.309172193849605,46.86442236798325,33.069903641800835,26.92615765120584,21.27464812773843,19.206699572449025,14.25261633579999,14.028344423366672,13.3020529682208,13.230335890690437,6.273983184319768,5.8975895418921995,4.669100206718426,3.5289133194026405,3.1807224495598376,3.0760639222082444,2.457258914700243,2.225089206872814,2.2166054460139826,1.8063786671884308,1.25180056996606,1.1210028875359033,1.0253121794705216,0.9908166473298063,0.8235617222900754,0.777448787892221,0.6485873391715875,0.3254910772745778,0.25604143132510226,0.25298422020480255,0.20890942655381478,0.17222289311021802,0.15973928103566085,0.15846544306886926,0.15082241526811999,0.14572706340095376,0.1399947925503918,0.13426252169982977,0.1250908883389306,0.11209774107765672,0.10955006514407363,0.10942268134739445,0.10929529755071529,0.09528307991600822,0.0807613270945845,0.07770411597428477,0.07744934838092646
ts 8 std,,,,,,,,,,,,,,5.4586616395078874e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4917430086139899e-05,,,,,,,
ts 9 slope,-0.2110780851502688,-0.9217203739962904,-1.2994634426102005,-1.4162502834105242,-1.5582179153682103,-1.7127732620396574,-1.4727946355935504,-1.7961452972305936,-1.5436707534476368,-2.050221268417924,-1.6192664140865403,-1.7519209702291219,-2.052009648066913,-1.3764335950448092,-1.8723891572897127,-1.740111422606102,-1.8003918409281408,-1.7617086846747325,-1.9677914605916513,-1.6801144588079109,-1.6529560530601275,-1.6575120273635449,-1.7653438896767784,-1.8555791816830092,-1.7547924392094452,-1.8262743483819177,-1.7962464515360004,-1.88720460892355,-1.8942312478144427,-1.8711973702106264,-1.7335403215193312,-1.7168930654696033,-1.9083761514173088,-1.7841373712950834,-1.8017781032937608,-1.8826088805761003,-1.7468896170002455,-1.707292539655347,-1.7941623548590016,-1.82705633788822,-1.7149726473822748,-1.7686792631474852,-1.8051494239005725,-1.7886480405680198,-1.907327935470409,-1.623052146751866,-1.7901951074499713,-1.7894822316315349,-1.7912591855060416,-1.757662440783263
ts 9 std,0.0002712861529413675,0.0002023943248671441,0.0003497259435328272,0.00017647042051623026,0.00031486876822924486,0.00035209492035064515,0.000360243386559708,0.0003130446897864112,0.00038718080626260734,0.0003795220098218432,4.031326640623525e-05,5.315286679177688e-05,0.00034892015410962454,0.0001582566327067637,3.558423165441571e-05,2.9965159426191285e-05,2.7432243492683252e-05,2.1282419833849225e-05,7.028813554701963e-05,1.49190937028715e-05,3.626679930309929e-05,6.27231706939456e-05,4.301569107753373e-05,1.1691707454293481e-05,9.792095370766018e-06,1.455422713047276e-05,1.2668722523985662e-05,1.6736569193796866e-05,9.801524575493251e-06,1.2112968462609902e-05,1.9357625029782225e-05,1.3076359798400339e-05,2.054027991816273e-05,1.008551997354792e-05,1.16388245978231e-05,1.1041843646365618e-05,1.2234419269166741e-05,1.706926191520704e-05,1.1183333146383816e-05,8.109104647202551e-06,7.867104472851901e-06,9.3272916667576e-06,2.625710833137439e-05,1.7489367431396135e-05,1.1649806288612566e-05,1.7472312355929948e-05,1.2251856761821653e-05,1.1401291832244566e-05,1.2236438730725402e-05,2.1704290830767805e-05
ts 10 slope,-1.9319311523746534,-1.9350306579846617,-0.6787761460783045,-0.5819674255585188,-0.05391752325412481,-0.06164924365237429,-0.01672649305574885,-1.8419529101235632,-0.32023594799771415,-1.025611059802298,-0.9470630332850426,-0.5942313483458873,-1.8738347225988192,-2.740988061197033,-2.386572603122095,-0.7211781797644119,-2.050546378440419,-2.5189943341297774,-0.030138310632993253,-0.13136657573874647,-1.6397273284198546,-2.1576250819437544,-2.5714479448583907,-3.4926732037240646,-0.20853953326199284,-0.21788441307130507,-2.7842826127982003,-3.693231083010613,-0.703980948081281,-2.492018312842852,-3.4323286800926045,-0.04858439795918955,-2.502593454063598,-3.612872384942289,-0.17993016466828826,-4.142643114921035,-5.011734559011479,-0.11524238676750782,-0.05640313121086124,-0.03304578428757368,-0.5236191939285377,-0.07592121154057449,-4.038463723000718,-3.7754240328593864,-3.227817875109065,-1.030955602076065,-2.7725859338298537,-0.8394269124920174,-2.3378678655961536,-2.665412563567212
ts 10 std,8.460556632317745e-05,4.817417887974449e-05,1.3504482733223242e-05,1.0516040685409557e-05,9.446367263538758e-08,1.7101901887760622e-07,2.464200324350184e-08,3.129209393257603e-05,4.7647416670588135e-05,0.0001430823679814535,9.619019943620473e-06,4.2267619197682305e-06,3.179059577527085e-05,0.0001415508432566789,0.0001176001098811359,2.6426597489535374e-05,5.775506413270851e-05,0.00015902919509655597,8.345049827412123e-08,5.31814908483214e-07,0.00011958516306317292,8.218904573979625e-05,0.00016563406644192142,0.0002788632761531177,2.6233063090657618e-05,1.0899737328598647e-05,0.00022921076542198218,0.0003461313793366753,3.4411533538443e-06,0.00013649789010194058,0.0006208421137008907,6.969387708185286e-08,0.00010918988767583122,0.0006516650910900372,3.4711348079599684e-07,0.0006099356826974321,0.0005919411814809206,2.6845570130589534e-06,9.11534631901726e-08,6.054739884258651e-08,1.9505308884587823e-06,1.1915654610104124e-07,0.00041383751079692246,0.0004239515375541058,0.0005586114135143193,1.9598161531019386e-05,0.00014877118709228328,5.28607336751338e-06,0.00011417306402255495,0.00016841129818238111
ts 11 slope,,,,-1.2969440244011408,,,,,,,,-1.8384765991259082,,,,,,,,,,,,,-2.644390880501212,,,,,,,,,,-1.8198027707496396,,,,,,,,,,,,,,,
ts 11 std,,,,5.5681907573751725e-05,,,,,,,,4.858460099728097e-05,,,,,,,,,,,,,9.045531569403207e-05,,,,,,,,,,5.750739954459496e-05,,,,,,,,,,,,,,,
ts 12 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 12 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 13 slope,,,,,,,,,,,,,,,,,,,,-1.559595963898538,,,,,,,,,,,,,-1.8045294129580678,,,,,,,,,,,,,,,,,
ts 13 std,,,,,,,,,,,,,,,,,,,,0.00031683335319093286,,,,,,,,,,,,,1.536449247481828e-05,,,,,,,,,,,,,,,,,
ts 14 slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 14 std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts 15 slope,-1.5420913547918023,-1.8562569802320843,-1.837211812047445,-1.7421249934561807,-1.6684243640000695,-1.7258028265854828,-1.7871166616751768,-1.7047134585372214,-1.774599584030994,-1.7291697336777374,-1.6429688370875848,-1.7187935670264123,-1.755175645744035,-1.881289346760076,-1.7271324387035558,-1.7681480065603625,-1.5840370538190052,-1.8056559960592367,-1.8177965257013071,-1.6863522219625093,-1.7715210683941502,-1.6820545861380192,-1.7764315044407981,-1.8365021942736046,-1.849776896510894,-1.861053214235426,-1.854693823599791,-1.6732878642431028,-2.010750181702025,-1.9431355828965626,-1.8022796760888713,-1.6736630067380764,-2.066949790625197,-1.660298927074355,-1.9608368074349687,-1.8926420638323167,-1.6746789626736345,-2.326551711689896,-2.1300687816262958,-1.6410511865597162,-2.261213158360013,-2.1353246874759293,-1.957397149421025,-2.1251210974148,-2.4334475564908606,-2.209266317238426,-1.6524847816471846,-2.2827090375514714,-1.6572266058551222,-2.053721670030275
