steady state,ts 2 slope,ts 2 std,ts 7 slope,ts 7 std,ts 3 slope,ts 3 std,ts 1 slope,ts 1 std,ts 0 slope,ts 0 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 14 slope,ts 14 std,ts 13 slope,ts 13 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std
8.013E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.440E+00,7.964E-02,-1.499E+00,7.738E-02,-1.499E+00,7.738E-02,-1.559E+00,8.244E-02,-1.559E+00,8.244E-02,-1.500E+00,7.474E-02,-1.469E+00,7.747E-02,-1.469E+00,7.747E-02,-1.469E+00,7.747E-02,-1.490E+00,8.402E-02,-1.490E+00,8.402E-02,-1.582E+00,7.853E-02,-1.507E+00,8.127E-02
8.200E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.413E+00,8.793E-02,-1.502E+00,8.508E-02,-1.502E+00,8.508E-02,-1.254E+00,8.171E-02,-1.254E+00,8.171E-02,-1.406E+00,7.344E-02,-1.483E+00,8.146E-02,-1.483E+00,8.146E-02,-1.483E+00,8.146E-02,-1.465E+00,7.856E-02,-1.465E+00,7.856E-02,-1.555E+00,7.635E-02,-1.569E+00,7.497E-02
8.392E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.357E+00,8.371E-02,-1.514E+00,7.769E-02,-1.514E+00,7.769E-02,-1.474E+00,8.128E-02,-1.474E+00,8.128E-02,-1.541E+00,6.903E-02,-1.376E+00,8.106E-02,-1.376E+00,8.106E-02,-1.376E+00,8.106E-02,-1.500E+00,8.127E-02,-1.500E+00,8.127E-02,-1.387E+00,8.374E-02,-1.360E+00,7.867E-02
8.588E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.574E+00,7.510E-02,-1.413E+00,8.439E-02,-1.413E+00,8.439E-02,-1.554E+00,7.878E-02,-1.554E+00,7.878E-02,-1.489E+00,7.821E-02,-1.458E+00,8.196E-02,-1.458E+00,8.196E-02,-1.458E+00,8.196E-02,-1.431E+00,8.400E-02,-1.431E+00,8.400E-02,-1.252E+00,7.388E-02,-1.410E+00,7.280E-02
8.788E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.431E+00,7.105E-02,-1.479E+00,7.927E-02,-1.479E+00,7.927E-02,-1.417E+00,8.352E-02,-1.417E+00,8.352E-02,-1.333E+00,8.487E-02,-1.464E+00,8.724E-02,-1.464E+00,8.724E-02,-1.464E+00,8.724E-02,-1.552E+00,8.159E-02,-1.552E+00,8.159E-02,-1.389E+00,7.354E-02,-1.448E+00,8.160E-02
8.993E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.457E+00,7.911E-02,-1.398E+00,7.164E-02,-1.398E+00,7.164E-02,-1.342E+00,8.124E-02,-1.342E+00,8.124E-02,-1.350E+00,7.833E-02,-1.514E+00,8.466E-02,-1.514E+00,8.466E-02,-1.514E+00,8.466E-02,-1.458E+00,9.138E-02,-1.458E+00,9.138E-02,-1.543E+00,7.628E-02,-1.478E+00,8.991E-02
9.203E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.502E+00,7.670E-02,-1.454E+00,7.844E-02,-1.454E+00,7.844E-02,-1.468E+00,8.274E-02,-1.468E+00,8.274E-02,-1.569E+00,8.291E-02,-1.480E+00,7.425E-02,-1.480E+00,7.425E-02,-1.480E+00,7.425E-02,-1.469E+00,8.206E-02,-1.469E+00,8.206E-02,-1.362E+00,8.099E-02,-1.230E+00,8.249E-02
9.418E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.304E+00,8.011E-02,-1.370E+00,8.302E-02,-1.370E+00,8.302E-02,-1.420E+00,8.071E-02,-1.420E+00,8.071E-02,-1.482E+00,8.295E-02,-1.319E+00,8.036E-02,-1.319E+00,8.036E-02,-1.319E+00,8.036E-02,-1.481E+00,8.251E-02,-1.481E+00,8.251E-02,-1.385E+00,7.514E-02,-1.508E+00,8.317E-02
9.638E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.381E+00,8.378E-02,-1.458E+00,8.522E-02,-1.458E+00,8.522E-02,-1.408E+00,8.555E-02,-1.408E+00,8.555E-02,-1.422E+00,8.599E-02,-1.243E+00,8.629E-02,-1.243E+00,8.629E-02,-1.243E+00,8.629E-02,-1.415E+00,7.256E-02,-1.415E+00,7.256E-02,-1.529E+00,8.121E-02,-1.467E+00,8.670E-02
9.863E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.277E+00,9.192E-02,-1.350E+00,8.212E-02,-1.350E+00,8.212E-02,-1.323E+00,8.059E-02,-1.323E+00,8.059E-02,-1.375E+00,7.938E-02,-1.286E+00,8.498E-02,-1.286E+00,8.498E-02,-1.286E+00,8.498E-02,-1.396E+00,8.876E-02,-1.396E+00,8.876E-02,-1.533E+00,8.122E-02,-1.299E+00,7.760E-02
