,steady state,ts 1 slope,ts 1 std,ts 2 slope,ts 2 std,ts 3 slope,ts 3 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 7 slope,ts 7 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 13 slope,ts 13 std,ts 14 slope,ts 14 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std,ts 20 slope,ts 20 std
species_11,0.0021655612406317566,-1.7839333410896785,0.0018552872506644145,-1.7249141266115844,0.0019083025218563344,-1.7606199943039031,0.002075353301248861,-1.719955241936214,0.0022081920915932064,-1.7840248203609015,0.002308288996942224,-1.7413200161276061,0.002226407992602421,-1.6844802956589495,0.0020981326053055075,-1.7668421559525975,0.002105219713287241,-1.7372500289971098,0.0019099725435238709,-1.712125906477783,0.0018581764104615573,-1.733619455867519,0.002223836932147098,-1.7606747259257827,0.002054579249416167,-1.7699453575187434,0.002201072108927935,-1.7975713841110186,0.0023037321372932577,-1.6971919155416277,0.0020830880505036857,-1.736211283571473,0.002194011479422789,-1.7889150401542058,0.001853768457035271,-1.7500629394304115,0.002022679010135425,-1.7944615685699625,0.002202852009258958,-1.7391452663735154,0.0022459690497724253
species_12,0.0023395240647448253,-1.639896555201074,0.0021793173128942054,-1.730126018901569,0.002173803203123289,-1.7795019767454796,0.002035643992986723,-1.7521690539176482,0.002371814950417952,-1.722076699659955,0.002110024352484173,-1.6985486791580535,0.0019952620196362868,-1.7069931750675549,0.0025157809659512673,-1.7729770095612247,0.0020709422821191706,-1.7248983302687824,0.0020724271272178096,-1.7204607581986051,0.0023407920291580093,-1.79745957258904,0.00213276794674439,-1.792889329961159,0.002204783070507224,-1.787506246968988,0.002019150026700922,-1.7498293699326102,0.002067692737332298,-1.7717065362936333,0.0020429621921472948,-1.8199430926515496,0.002060479892565721,-1.7298607888081905,0.002277816846869448,-1.6725594741060075,0.0023364245074462184,-1.8436668895385333,0.002042167725986793,-1.7468913405128954,0.0023361565527135228
species_13,0.002527461586781727,-1.7375318499553938,0.0020087206367168813,-1.733011845340151,0.0020495264307776604,-1.7247224014296818,0.0021599332390060733,-1.741310892549161,0.0022158941407445943,-1.7557881248921283,0.002190607702894102,-1.7685762314084603,0.001985530297496146,-1.8198248759380276,0.0019546578710743054,-1.8123521885907548,0.002134656178877274,-1.7379932889207397,0.0020216427378662314,-1.7534226275356695,0.0020345225141195425,-1.7346515246044325,0.0020236577296687945,-1.7643804047502847,0.0020615115593290187,-1.795571154889349,0.002394893305229186,-1.7327528492610842,0.0027915753631695983,-1.7745356074562644,0.0021522438164656506,-1.8657857617419926,0.0022321254299965277,-1.7866580178608842,0.002266104464081566,-1.8025911119840783,0.002051562024668141,-1.800870913758544,0.0022236189662868553,-1.6792297217869334,0.0021992749394219697
species_14,0.0027304964154553227,-1.721198895830947,0.0020254654713878465,-1.6998703773576145,0.0021508367100868415,-1.8015680819579334,0.0022434458144021075,-1.7920863221326575,0.0018205094887825365,-1.7796159752123475,0.0025213934159050285,-1.7602108732530433,0.0022173898374525597,-1.7601568687116014,0.0021698596551490376,-1.7349603569281922,0.002410413717287969,-1.7661235088871836,0.0019753239133649954,-1.7175478706571157,0.0021840393344877123,-1.634521438493658,0.002006099566735056,-1.7830015005830868,0.002384968917704089,-1.7237195798175307,0.0019632923503920614,-1.7255058668387981,0.002175164002528827,-1.777639040943631,0.0021271124695858307,-1.715252238038049,0.0021355077742548417,-1.6954646145748349,0.0021198452829355977,-1.73651841145189,0.002090078287178782,-1.8351458439310837,0.002009888900439524,-1.762861743921849,0.002222316415195955
species_15,0.0029498413403416983,-1.7513675524845498,0.0020982869183008277,-1.7936529027160606,0.00202445994066031,-1.8460033374587825,0.002030393797269317,-1.76188462498734,0.002233814854824679,-1.7487155939908074,0.002061085510768931,-1.781126252261654,0.002256557499889871,-1.7754426106384031,0.0021805616638772216,-1.7019565880403558,0.0021434392537602927,-1.7691026413451183,0.0022722428570462684,-1.8958326417662834,0.002120652745922932,-1.653382309303024,0.002094896317771776,-1.6976114670206897,0.001892226429162058,-1.6899106916878004,0.0023228715327564386,-1.7313453203468792,0.002073245951814851,-1.6779663263268674,0.002332786824963216,-1.7253046320267587,0.0022043505406281437,-1.7473899001931301,0.001971182827436888,-1.7760802919955685,0.0023151515357740346,-1.60663146817831,0.00186732114182738,-1.8230330354713067,0.002129456181529045
species_16,0.0031868065762459103,-1.7499560250362085,0.002074226513958294,-1.7453812020267356,0.0022403784956310296,-1.8006185333118883,0.0020661493925884828,-1.7530324089896379,0.00206371504959865,-1.817033190085697,0.002108294692080107,-1.7766543458855872,0.0022491512666192323,-1.6771559460332033,0.001954465634450077,-1.7446242929429916,0.0019859449892440117,-1.7186561546406112,0.0019849318174191065,-1.6684033298281928,0.002168589892710039,-1.7830551333850517,0.0024983940498742975,-1.8441345796734356,0.0019355629138036409,-1.7239039263114468,0.0020798234653337123,-1.7793324802722945,0.0019407609260438915,-1.788785604028592,0.0021114535169616364,-1.7757012069393259,0.0020835412939896433,-1.6827311619292107,0.0020504322807494216,-1.7842001584248592,0.0020156358554578773,-1.7245795869115226,0.0021175275288632567,-1.8171691313437992,0.0020889258596588204
species_17,0.003442807589518621,-1.750714879963264,0.002256742005167194,-1.7632078561203564,0.002429195584675194,-1.7835599540114646,0.002256992287651337,-1.8130932778257545,0.002090879857969595,-1.7124048756284427,0.0022063895922690723,-1.7731694141599557,0.002435280105850146,-1.8017022727144407,0.0019207766255091622,-1.7479323259413253,0.002180737837675861,-1.7932024445609542,0.0020366099553148736,-1.8420120962860136,0.0019655228702834047,-1.7803279945026336,0.00199979222099776,-1.7990779347943369,0.0018182846427018124,-1.7491601812731887,0.002182063299212016,-1.8143896860114594,0.001977603406106315,-1.7727173239232314,0.0024315650632187958,-1.7136635482518752,0.002136194913008941,-1.7883873493512552,0.0020339216167025343,-1.7421024588954876,0.0019978609165691255,-1.6734048326110325,0.002151934453930159,-1.7890407820332852,0.0023114343361116943
species_18,0.00371937355307264,-1.677469330288173,0.002012052556190176,-1.6917181933946916,0.0021461090969320633,-1.7573959507629526,0.0024241745958011847,-1.7117355284467195,0.002392218667134591,-1.7722213028861133,0.00198698938155514,-1.7271379627389114,0.0018518902164789644,-1.8232142484817333,0.0022597518204703236,-1.7581696508184714,0.002187367809151229,-1.8239506097255516,0.0020774625528880318,-1.7370185265566145,0.0019394817179652025,-1.734416244178675,0.0019074737682401375,-1.7076610271923764,0.00230469584202807,-1.662743902438267,0.0023038351519162033,-1.7324199021941777,0.002200164016361634,-1.8273600427604024,0.0020817718931617373,-1.7698180736356295,0.00217700160680461,-1.712521045029049,0.0021558289474523746,-1.7834057110608068,0.0023380973287297005,-1.7449846363410035,0.002018185632139583,-1.764938982292496,0.0020789690924482053
species_19,0.004018156480603808,-1.7488929876221038,0.0020634632055092157,-1.7862048325163564,0.002169012925777106,-1.7133280733491358,0.0019263405295795114,-1.7210503366640626,0.0019847410922056844,-1.7321619019836643,0.001984058243136961,-1.697470121308717,0.002148984363090925,-1.699425706201039,0.0021801258320693533,-1.758418992106381,0.0020760332168944158,-1.8102529240170644,0.001990388818927802,-1.7302661922528544,0.0021295198184485527,-1.7859577439935315,0.002224806317908564,-1.7926710072336756,0.002066261486908234,-1.7732317028653262,0.0022806712393207253,-1.8408135377305634,0.002006583996871941,-1.726511590474662,0.0025717157060359433,-1.7161904614664851,0.0019747158630328636,-1.7566401075287597,0.0019420939202882566,-1.773289361813588,0.0023425929770760135,-1.7440976181378036,0.002054204791501697,-1.751928117791733,0.002108688242466378
species_20,0.004340941094577661,-1.7105854318639384,0.0019870071416530246,-1.752052757223493,0.002227848446368071,-1.7900257831218545,0.002245387213824205,-1.7498508503475254,0.002253367894722154,-1.731464219799505,0.0021791517097829523,-1.7141887157472533,0.0022306667847705147,-1.750948904898567,0.002322197855551261,-1.7450718376584264,0.002300154097420741,-1.7874874752128287,0.0020886932089710015,-1.7572869257583437,0.002034026478299493,-1.6938606848917093,0.0022325877397836704,-1.7768891737892927,0.001977693116525917,-1.7353365711151567,0.002083298589219999,-1.764064578174567,0.0023359836337621476,-1.7561189125908274,0.0026352357568359733,-1.735798068945659,0.0020853227894708083,-1.7880664650774507,0.00231575415779782,-1.693006279519851,0.0022497751853189103,-1.7072858051799347,0.002378940079493558,-1.7663128932915484,0.0022060265751783674
