time,species_1,species_2,species_3,species_4,species_5
5.98100E+01,1.00000E-01,1.00624E-01,9.19968E-02,9.54602E-02,6.03395E-04
5.98200E+01,1.00000E-01,1.00705E-01,9.16493E-02,9.52890E-02,6.17653E-04
5.98300E+01,1.00000E-01,1.00602E-01,9.17582E-02,9.53708E-02,6.02465E-04
5.98400E+01,1.00000E-01,1.00579E-01,9.20373E-02,9.60179E-02,5.48386E-04
5.98500E+01,1.00000E-01,1.00745E-01,9.23421E-02,9.68017E-02,5.47092E-04
5.98600E+01,1.00000E-01,1.00653E-01,9.17775E-02,9.85568E-02,5.47669E-04
5.98700E+01,1.00000E-01,1.00574E-01,9.27192E-02,9.89050E-02,5.32305E-04
5.98800E+01,1.00000E-01,1.00410E-01,9.33163E-02,9.81704E-02,5.32792E-04
5.98900E+01,1.00000E-01,1.00244E-01,9.35595E-02,1.00203E-01,5.47258E-04
5.99000E+01,1.00000E-01,1.00402E-01,9.43929E-02,9.94525E-02,5.62249E-04
5.99100E+01,1.00000E-01,1.00391E-01,9.50687E-02,9.89514E-02,5.47561E-04
5.99200E+01,1.00000E-01,1.00439E-01,9.49055E-02,9.82383E-02,5.50219E-04
5.99300E+01,1.00000E-01,1.00366E-01,9.47247E-02,9.74183E-02,5.49310E-04
5.99400E+01,1.00000E-01,1.00422E-01,9.49236E-02,9.77462E-02,5.50596E-04
5.99500E+01,1.00000E-01,1.00447E-01,9.53877E-02,9.65109E-02,5.54323E-04
5.99600E+01,1.00000E-01,1.00367E-01,9.55477E-02,9.72067E-02,5.69602E-04
5.99700E+01,1.00000E-01,1.00223E-01,9.55253E-02,9.79168E-02,5.55825E-04
5.99800E+01,1.00000E-01,9.99987E-02,9.52333E-02,9.75789E-02,5.51341E-04
5.99900E+01,1.00000E-01,1.00016E-01,9.46899E-02,9.71270E-02,5.43752E-04
6.00000E+01,1.00000E-01,1.00011E-01,9.52965E-02,9.73400E-02,5.07517E-04
6.00100E+01,1.00000E-01,9.98964E-02,9.45289E-02,9.86113E-02,5.49398E-04
6.00200E+01,1.00000E-01,1.00052E-01,9.42912E-02,9.68621E-02,5.30175E-04
6.00300E+01,1.00000E-01,1.00179E-01,9.41667E-02,9.67064E-02,5.30177E-04
6.00400E+01,1.00000E-01,1.00347E-01,9.44107E-02,9.58366E-02,4.88031E-04
6.00500E+01,1.00000E-01,1.00286E-01,9.38035E-02,9.53831E-02,4.68737E-04
6.00600E+01,1.00000E-01,1.00282E-01,9.34168E-02,9.51698E-02,4.52986E-04
6.00700E+01,1.00000E-01,1.00424E-01,9.30710E-02,9.53045E-02,4.75186E-04
6.00800E+01,1.00000E-01,1.00419E-01,9.37962E-02,9.61618E-02,4.52565E-04
6.00900E+01,1.00000E-01,1.00441E-01,9.34930E-02,9.71905E-02,4.58739E-04
6.01000E+01,1.00000E-01,1.00522E-01,9.38645E-02,9.68005E-02,4.45858E-04
6.01100E+01,1.00000E-01,1.00588E-01,9.41224E-02,9.63180E-02,4.45287E-04
6.01200E+01,1.00000E-01,1.00483E-01,9.38257E-02,9.63166E-02,4.64430E-04
6.01300E+01,1.00000E-01,1.00447E-01,9.26918E-02,9.70815E-02,4.77116E-04
6.01400E+01,1.00000E-01,1.00739E-01,9.18389E-02,9.63866E-02,4.64693E-04
6.01500E+01,1.00000E-01,1.00908E-01,9.21049E-02,9.75841E-02,4.37363E-04
6.01600E+01,1.00000E-01,1.00929E-01,9.20015E-02,9.73872E-02,4.58144E-04
6.01700E+01,1.00000E-01,1.00832E-01,9.18698E-02,9.66368E-02,4.94751E-04
6.01800E+01,1.00000E-01,1.00872E-01,9.20171E-02,9.54132E-02,5.07456E-04
6.01900E+01,1.00000E-01,1.00691E-01,9.21704E-02,9.36096E-02,5.00013E-04
6.02000E+01,1.00000E-01,1.00753E-01,9.18437E-02,9.37961E-02,5.22812E-04
6.02100E+01,1.00000E-01,1.00693E-01,9.10420E-02,9.44234E-02,5.21000E-04
6.02200E+01,1.00000E-01,1.00636E-01,9.10324E-02,9.42378E-02,4.91249E-04
6.02300E+01,1.00000E-01,1.00611E-01,9.03680E-02,9.34496E-02,4.70101E-04
6.02400E+01,1.00000E-01,1.00730E-01,9.07060E-02,9.38477E-02,4.60960E-04
6.02500E+01,1.00000E-01,1.00820E-01,9.12742E-02,9.45697E-02,4.80671E-04
6.02600E+01,1.00000E-01,1.00791E-01,9.16308E-02,9.46329E-02,4.84955E-04
6.02700E+01,1.00000E-01,1.00821E-01,9.18618E-02,9.46032E-02,4.60813E-04
6.02800E+01,1.00000E-01,1.00878E-01,9.19812E-02,9.49941E-02,4.38651E-04
6.02900E+01,1.00000E-01,1.00638E-01,9.12183E-02,9.53038E-02,4.51745E-04
6.03000E+01,1.00000E-01,1.00824E-01,9.10594E-02,9.47680E-02,4.16468E-04
6.03100E+01,1.00000E-01,1.00665E-01,9.11280E-02,9.49206E-02,4.27444E-04
6.03200E+01,1.00000E-01,1.00686E-01,9.19762E-02,9.39861E-02,4.18380E-04
6.03300E+01,1.00000E-01,1.00720E-01,9.21533E-02,9.41460E-02,4.29475E-04
6.03400E+01,1.00000E-01,1.00721E-01,9.27884E-02,9.43920E-02,4.09973E-04
6.03500E+01,1.00000E-01,1.00505E-01,9.28618E-02,9.53491E-02,4.11248E-04
6.03600E+01,1.00000E-01,1.00593E-01,9.30601E-02,9.73331E-02,4.24178E-04
